date,min,max,median,q1,q3,stdev,count
2022-03-27T00:00:00.000Z,0.2,2.3,0.82,0.5,1.19,0.43,305
2022-03-28T00:00:00.000Z,0.1,4.5,0.95,0.55,2.08,1.148,569
2022-03-29T00:00:00.000Z,0.5,4.59,1.1,0.82,1.48,0.745,568
2022-03-30T00:00:00.000Z,0.3,7.57,1.58,0.7,2.2,1.242,563
2022-03-31T00:00:00.000Z,0.45,20.32,2.15,1,3.2,2.086,581
2022-04-01T00:00:00.000Z,0.45,8.5,2.94,1.44,5.4,2.09,548
2022-04-02T00:00:00.000Z,0.32,21.67,1.8,1.08,5.2,2.42,495
2022-04-03T00:00:00.000Z,0,2.8,0.7,0.3,1,0.466,574
2022-04-04T00:00:00.000Z,0.1,19,0.85,0.4,2.1,2.951,573
2022-04-05T00:00:00.000Z,0.2,1.95,0.7,0.5,0.9,0.272,568
2022-04-06T00:00:00.000Z,0.1,2.97,0.7,0.47,1.25,0.553,569
2022-04-07T00:00:00.000Z,0.28,12.13,1.4,1.05,1.98,1.976,580
2022-04-08T00:00:00.000Z,0.3,8.52,1.02,0.7,1.55,1.01,577
2022-04-09T00:00:00.000Z,0.4,5.78,0.95,0.8,1.12,0.496,563
2022-04-10T00:00:00.000Z,0,2.78,0.4,0.22,0.69,0.323,569
2022-04-11T00:00:00.000Z,0.3,14.98,0.65,0.5,1,1.389,570
2022-04-12T00:00:00.000Z,0,2.25,1.08,0.4,1.45,0.568,531
2022-04-13T00:00:00.000Z,0.35,7,1.25,0.9,1.52,0.615,570
2022-04-14T00:00:00.000Z,0.88,19.82,7,4.32,10.64,4.142,569
2022-04-15T00:00:00.000Z,0.1,4.47,0.6,0.3,1.2,0.83,564
2022-04-16T00:00:00.000Z,0.1,2.5,0.52,0.4,0.8,0.281,569
2022-04-17T00:00:00.000Z,0.28,107.8,0.7,0.5,1,6.181,568
2022-04-18T00:00:00.000Z,0.32,4.88,1.14,0.9,1.55,0.845,574
2022-04-19T00:00:00.000Z,0.3,2.45,0.95,0.7,1.25,0.373,568
2022-04-20T00:00:00.000Z,0.7,3.75,1.65,1.2,2.02,0.593,567
2022-04-21T00:00:00.000Z,0.4,2.27,1.1,0.9,1.3,0.284,571
2022-04-22T00:00:00.000Z,0.43,2.8,0.9,0.7,1.35,0.461,571
2022-04-23T00:00:00.000Z,0.38,4.55,0.9,0.75,1.02,0.356,570
2022-04-24T00:00:00.000Z,0.3,5.03,1.4,0.9,2.24,0.93,581
2022-04-25T00:00:00.000Z,0.43,5.82,1.6,1.2,2.4,0.72,550
2022-04-26T00:00:00.000Z,0.1,2.95,0.5,0.35,0.7,0.385,560
2022-04-27T00:00:00.000Z,0.17,2.04,0.8,0.52,1.2,0.422,559
2022-04-28T00:00:00.000Z,0.1,3.58,0.7,0.4,1.35,0.563,568
2022-04-29T00:00:00.000Z,0.1,36.88,0.6,0.4,0.93,1.578,568
2022-04-30T00:00:00.000Z,0.2,49.33,1.1,0.7,3.3,3.831,574
2022-05-01T00:00:00.000Z,0.1,4.03,0.76,0.4,1.6,1.067,520
2022-05-02T00:00:00.000Z,0,1.85,0.7,0.55,0.9,0.311,464
2022-05-03T00:00:00.000Z,0.1,2.1,0.7,0.5,1.08,0.371,535
2022-05-04T00:00:00.000Z,0.2,2.88,0.77,0.5,1.35,0.545,581
2022-05-05T00:00:00.000Z,1.1,5,1.98,1.73,2.25,0.672,561
2022-05-06T00:00:00.000Z,0.8,5.5,1.95,1.5,2.65,0.936,575
2022-05-07T00:00:00.000Z,0.47,13.05,1.25,0.9,4.3,3.207,579
2022-05-08T00:00:00.000Z,0.2,5.43,0.68,0.52,0.82,0.331,559
2022-05-09T00:00:00.000Z,0.45,3.45,1.1,0.85,1.4,0.372,527
2022-05-10T00:00:00.000Z,0.6,9.19,2.38,1.33,4.48,2.215,517
2022-05-11T00:00:00.000Z,0.93,9.5,2.47,1.83,3.25,1.409,518
2022-05-12T00:00:00.000Z,0.17,8.23,1.2,0.6,2.42,1.83,524
2022-05-13T00:00:00.000Z,0.3,2.8,1.23,0.8,1.73,0.551,528
2022-05-14T00:00:00.000Z,0.1,5.82,1,0.7,1.85,0.714,548
2022-05-15T00:00:00.000Z,0,47.6,0.4,0.2,0.55,2.133,533
2022-05-16T00:00:00.000Z,0.1,1.3,0.55,0.4,0.7,0.215,532
2022-05-17T00:00:00.000Z,0.2,2.15,0.7,0.52,0.9,0.315,538
